,execution_date,start,end,duration
0,2022-09-20 14:19:56.039210,2022-09-20 14:20:12.665877,2022-09-20 14:20:12.912031,0
1,2022-09-19 00:00:00.000000,2022-09-20 14:20:00.630400,2022-09-20 14:20:00.888098,0
