,nodes,k.id,k.user,k.name,k.queue,k.state,k.finalStatus,k.progress,k.trackingUI,k.trackingUrl,k.diagnostics,k.clusterId,k.priority,k.startedTime,k.finishedTime,k.elapsedTime,k.amContainerLogs,k.amHostHttpAddress,k.masterNodeId,k.allocatedMB,k.allocatedVCores,k.runningContainers
0,app,application_1663596156642_0002,train,Spark shell,default,FINISHED,SUCCEEDED,100.0,History,http://vm:8088/proxy/application_1663596156642_0002/,,1663596156642,0,1663678761564,1663678886049,124485,http://vm:8042/node/containerlogs/container_1663596156642_0002_01_000001/train,vm:8042,vm:36881,-1,-1,-1
1,app,application_1663596156642_0003,train,Spark shell,default,RUNNING,UNDEFINED,10.0,ApplicationMaster,http://vm:8088/proxy/application_1663596156642_0003/,,1663596156642,0,1663678958774,0,2145375,http://vm:8042/node/containerlogs/container_1663596156642_0003_01_000001/train,vm:8042,vm:36881,5120,3,3
2,app,application_1663596156642_0001,train,Spark shell,default,KILLED,KILLED,100.0,History,http://vm:8088/cluster/app/application_1663596156642_0001,Application application_1663596156642_0001 was killed by user train at 127.0.0.1,1663596156642,0,1663596197600,1663678622203,82424603,http://vm:8042/node/containerlogs/container_1663596156642_0001_01_000001/train,vm:8042,vm:36881,-1,-1,-1
